date,1,2,3,4,5
2000-12-31,1.0,1.0,1.0,1.0,1.0
2001-01-31,1.0192594498333742,1.0079327057840204,0.9741046831955923,1.029027828857082,1.0135802559079792
2001-02-28,0.9330039676637414,1.0197731546839401,0.9812672176308539,0.9012084101177656,0.9754242151172414
2001-03-31,0.8715674884728716,1.0234630223277763,0.9474747474747475,0.8136760490202437,0.9444665668593433
2001-04-30,0.9358138936569641,1.0112683665200572,0.9677869605142334,0.9052827249992745,0.9728098414414055
2001-05-31,0.9236174480726481,1.0149964579309216,0.9792470156106522,0.8876427145265618,0.9682295380109691
2001-06-30,0.8945493867607865,1.0197119966566943,0.9974288337924704,0.846070365096238,0.9550825834878695
2001-07-31,0.8825941365406959,1.045175396125639,0.9775941230486687,0.8291661362271714,0.9604507672322866
2001-08-31,0.8400995332869704,1.0575344141315814,1.0080808080808081,0.7700095564524967,0.942567858430814
2001-09-30,0.7659600982469118,1.0756015146804747,1.0745638200183656,0.6703617395702055,0.9076716597201785
2001-10-31,0.780588597087164,1.1041686840321487,1.02791551882461,0.6896572469656879,0.9283864949557565
2001-11-30,0.8266488718086838,1.0779586469805773,1.0102846648301196,0.7515910780360693,0.9439773828767877
2001-12-31,0.8317622135302559,1.0674292732897412,1.0246097337006428,0.7585754442457929,0.9422565123884618
2002-01-31,0.8064768995139914,1.0745083149434544,1.0352617079889808,0.7242489898645527,0.9308953401632217
2002-02-28,0.7993857558057734,1.0846885782287616,1.089623507805326,0.7147178159424639,0.9311737748247039
2002-03-31,0.8346002789826379,1.0586760306401717,1.1111111111111112,0.7624612703070608,0.9399847395168279
2002-04-30,0.8062316842270291,1.0839253770137554,1.1318640955004593,0.7239186950537734,0.9348235032808158
2002-05-31,0.8075743384212156,1.0903737265114954,1.194674012855831,0.725727809691167,0.9383804350152427
2002-06-30,0.7584348028830886,1.105492500496909,1.1652892561983472,0.6605069327729454,0.9156658706663179
2002-07-31,0.6944416528314327,1.1313202998781937,1.1108539944903584,0.5787002141909459,0.8863610657791579
2002-08-31,0.6956275300388727,1.154899267632624,1.1487603305785126,0.5801831903791957,0.8963145234720817
